alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 333
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-PuddleWorld/run_624517701784150
Random seed:          333
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
40	656099218776636	21976	8	(494:52[0.13999999999999999],520:22[0.13999999999999999],543:165[0.19000000000000003],547:87[0.11999999999999998],565:20[0.17],573:70[0.16],575:35[0.18000000000000002],581:58[0.15],)	509	1321.1700000000214	-2060.526174852652	-5101.0999999999985	12	10.468	15	8	(0.07712118902653234,0.08207146609098087,0.102905174490699,0.07764922007656636,0.08142430220282117,0.09164569094824263,0.06017558966865255,0.06326711769698275,)
41	656956371342480	22516	7	(494:28[0.15],520:146[0.15],543:80[0.18000000000000002],547:47[0.10999999999999999],565:64[0.18000000000000002],575:69[0.19000000000000003],581:74[0.16],)	508	1321.1700000000214	-1993.226872047243	-5101.0999999999985	12	10.278	16	8	(0.0974761144517133,0.0822405770460446,0.08321763649873645,0.08256925342696347,0.09330361794443505,0.06525021140001265,0.05739356657388192,)
42	657702217239412	23029	8	(494:97[0.16],520:171[0.13999999999999999],543:44[0.17],547:62[0.11999999999999998],565:47[0.19000000000000003],575:20[0.20000000000000004],581:29[0.15],588:37[0.15],)	507	1321.1700000000214	-1686.6847140039426	-5101.0999999999985	12	10.046	15	8	(0.08788464138510325,0.07101311390665307,0.10062847447374533,0.06986126063014726,0.12110682431963947,0.0961812660921332,0.07922105052490272,0.0607539045193262,)
43	658435742152031	23543	7	(494:70[0.15],520:129[0.12999999999999998],543:30[0.18000000000000002],565:42[0.20000000000000004],575:74[0.21000000000000005],581:59[0.16],588:104[0.16],)	508	1321.1700000000214	-1772.4590944881872	-5101.0999999999985	12	9.868	15	8	(0.08971081044887276,0.059779080279622976,0.07890370241973345,0.11382647418189128,0.07880798728229986,0.09425807859222837,0.08761093419558065,)
44	659216991314671	24055	7	(494:44[0.16],520:156[0.11999999999999998],565:39[0.21000000000000005],575:24[0.20000000000000004],581:124[0.17],588:57[0.15],593:63[0.15],)	507	1321.1700000000214	-2020.2086982248502	-5101.0999999999985	12	9.69	16	8	(0.0799403705755058,0.06406675011138441,0.06112412230557533,0.08193657217222829,0.10162714269551872,0.09150694093948662,0.07141483682231081,)
45	659932895743914	24558	7	(494:21[0.17],520:64[0.10999999999999999],565:87[0.22000000000000006],575:81[0.21000000000000005],581:64[0.16],588:86[0.16],593:104[0.16],)	507	1321.1700000000214	-1736.6019053254427	-5101.0999999999985	12	9.71	14	8	(0.08741004106811157,0.05610312729797774,0.1205868816183885,0.10107398617698705,0.08153072460346475,0.07860765522553897,0.07625123519241991,)
46	660631205871505	25074	9	(494:51[0.18000000000000002],520:133[0.11999999999999998],565:33[0.21000000000000005],575:37[0.20000000000000004],581:33[0.17],588:130[0.15],593:53[0.15],595:18[0.15],596:19[0.15],)	507	1321.1700000000214	-1540.3910118343179	-5101.0999999999985	12	9.752	14	8	(0.06392222901743087,0.08024849275706321,0.13515334347978455,0.0973440508780741,0.0836088596056232,0.07797545040541455,0.06640845180680668,0.1010112190396874,0.08038616712264081,)
47	661273764510791	25607	10	(494:37[0.19000000000000003],520:54[0.10999999999999999],565:32[0.22000000000000006],581:65[0.18000000000000002],588:47[0.13999999999999999],593:111[0.16],595:78[0.16],596:48[0.16],599:23[0.15],600:25[0.15],)	520	1300.8700000000222	-1132.1426384615372	-5101.0999999999985	8	9.962	14	8	(0.10842394920712053,0.0629038604712549,0.1132860558254481,0.09845971329001363,0.07290311418356188,0.056513806558947235,0.10314322259933992,0.07840226425644477,0.08644283805555897,0.09251218090427267,)
48	661873592682451	26132	10	(494:55[0.20000000000000004],520:74[0.09999999999999999],565:77[0.23000000000000007],581:24[0.17],588:16[0.15],593:103[0.15],595:19[0.15],599:55[0.16],600:64[0.16],604:23[0.15],)	510	1300.8700000000222	-870.384880392154	-5101.0999999999985	8	9.744	14	8	(0.06828998058231571,0.07861026790841483,0.06420787676579892,0.0687348578760872,0.11052659743067297,0.0746971032546105,0.10224319690380923,0.028837576505860822,0.07595466609785208,0.08194962515438738,)
49	662507937266728	26648	9	(494:71[0.19000000000000003],520:59[0.09],565:24[0.22000000000000006],588:181[0.16],595:69[0.16],599:36[0.15],600:24[0.15],604:28[0.16],610:18[0.15],)	510	1280.760000000021	-1073.6372509803896	-5101.0999999999985	11	9.96	15	8	(0.08855268726171538,0.06500930054467706,0.14086959099984783,0.0724280012667381,0.06771218503814311,0.08598132340690928,0.0930115130572214,0.06785862465734405,0.07217514755695952,)
50	663122905937801	27149	9	(494:80[0.18000000000000002],520:34[0.08],565:32[0.23000000000000007],588:32[0.15],595:117[0.15],599:17[0.16],600:63[0.16],604:46[0.17],610:87[0.16],)	508	1289.5000000000211	-915.4247618110206	-5101.0999999999985	9	10.068	16	8	(0.10248654227537606,0.039586669858605206,0.08502781351702558,0.09546559883739705,0.07784004440309146,0.110362653319101,0.09812993903117936,0.07626875051410352,0.07543101382688358,)
51	663751772820569	27678	10	(494:89[0.17],520:20[0.09],565:89[0.24000000000000007],588:66[0.16],595:41[0.13999999999999999],599:66[0.17],600:49[0.15],604:34[0.18000000000000002],610:34[0.15],612:21[0.15],)	509	2016.4800000000298	-937.2812770137496	-5101.0999999999985	10	9.934	16	8	(0.08093067845493929,0.0646344101544091,0.09591329556901237,0.07703080894208536,0.09793145212637215,0.10031622187197481,0.11164926396061639,0.08659319642006429,0.08056295199066972,0.11124546273175172,)
52	664494310193471	28207	9	(494:117[0.16],520:29[0.09999999999999999],588:41[0.15],595:58[0.15],599:24[0.16],604:31[0.19000000000000003],610:45[0.16],612:110[0.16],618:65[0.15],)	520	2016.4800000000298	-1627.069328846153	-5101.0999999999985	10	9.854	16	8	(0.1037662602418188,0.03916122142145772,0.09221421136362505,0.066373784315898,0.09116511627704617,0.08364513534144494,0.07035128020723147,0.05235454545332877,0.07965784579160386,)
53	665322278454063	28759	7	(494:168[0.15],588:69[0.16],595:23[0.13999999999999999],599:47[0.17],610:59[0.17],612:107[0.15],618:45[0.13999999999999999],)	518	2016.4800000000298	-1926.52750965251	-5101.0999999999985	10	9.958	16	8	(0.08224448692020861,0.06681920253121275,0.09210606539100491,0.06846464695953901,0.06423880847320262,0.07783500766447939,0.0768121371423756,)
54	666139895736081	29287	7	(494:47[0.13999999999999999],588:23[0.17],595:37[0.15],599:105[0.18000000000000002],610:81[0.18000000000000002],612:108[0.13999999999999999],618:106[0.15],)	507	2016.4800000000298	-2046.9372386587777	-5101.0999999999985	10	9.88	17	8	(0.09134465367922154,0.09565508232893107,0.06717978724767938,0.07150384108054597,0.07447662915257951,0.08431762247691955,0.0968227819068003,)
55	666950469694248	29830	7	(494:81[0.15],595:43[0.16],599:168[0.17],618:84[0.13999999999999999],628:63[0.15],630:27[0.15],631:41[0.15],)	507	2016.4800000000298	-1831.1098027613411	-5101.0999999999985	10	9.828	16	8	(0.07119563990056517,0.03739610793003474,0.09402476356497698,0.10060341322967122,0.09463754615620415,0.07975043177140544,0.05554894856014788,)
56	667734720983981	30339	9	(494:28[0.13999999999999999],595:25[0.17],599:52[0.16],618:71[0.12999999999999998],628:151[0.16],630:77[0.16],631:40[0.16],635:22[0.15],637:41[0.15],)	507	2016.4800000000298	-1958.7105522682434	-5101.0999999999985	10	9.856	16	8	(0.08066369747078835,0.041423500425503954,0.09222444415932364,0.09098509147935162,0.08803288772297045,0.07639348095623597,0.05595773281829255,0.08539462417087827,0.07205347914039367,)
57	668539671247953	30852	9	(494:65[0.15],599:58[0.17],618:108[0.11999999999999998],628:42[0.15],630:47[0.15],631:66[0.17],635:45[0.16],637:50[0.16],639:33[0.15],)	514	2016.4800000000298	-1978.6492996108943	-5101.0999999999985	10	10.058	16	8	(0.08002892808316951,0.0881501794151219,0.05758782071977602,0.07280599980550319,0.07908328132452885,0.06946425530360455,0.05859547466670204,0.09390860243344232,0.06251017114548632,)
