alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 666
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_658664537304250
Random seed:          666
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
35	667445050277255	19132	11	(466:19[0.15],491:20[0.15],511:56[0.13999999999999999],516:41[0.09],520:38[0.15],541:48[0.13999999999999999],546:61[0.16],547:54[0.16],549:87[0.17],550:62[0.17],557:24[0.15],)	510	1588.010000000023	1139.1840470588302	-100.09999999999856	10	10.466	16	8	(0.1163429372576222,0.07732941713727078,0.06368730549929628,0.054626349478087456,0.08827692270062322,0.08281759501861401,0.05216776140927908,0.08587644536516456,0.08327835693352477,0.07220427973566292,0.08548015799604895,)
36	667699638259081	19655	11	(466:82[0.16],491:36[0.16],511:30[0.12999999999999998],516:58[0.09999999999999999],520:18[0.16],541:58[0.12999999999999998],546:54[0.15],547:41[0.15],549:42[0.16],550:68[0.16],557:24[0.16],)	511	1588.010000000023	1129.894270058715	-100.09999999999856	10	10.738	17	8	(0.08331085677130741,0.09753252827337439,0.055020159625114085,0.06174862217663208,0.11655448200273834,0.0776636609199666,0.048269211583513875,0.08698301950502296,0.07922143064519076,0.07510907012789263,0.06996602052323024,)
37	667948066512213	20157	14	(466:27[0.15],491:18[0.17],511:42[0.13999999999999999],516:41[0.09],520:38[0.17],541:31[0.11999999999999998],546:63[0.13999999999999999],547:16[0.16],549:61[0.17],550:15[0.15],557:72[0.17],565:17[0.15],566:30[0.15],567:40[0.15],)	511	1588.010000000023	1154.4829941291653	-100.09999999999856	10	10.822	16	8	(0.09549978089462817,0.09790878295267624,0.09258119220079504,0.07488153693933901,0.10912915429786817,0.08583839565189148,0.08619819888320485,0.06685999130029942,0.1003035129175266,0.11309173577011289,0.09041287790219919,0.07964300461636337,0.08571347319500472,0.08189537303236973,)
38	668196756661360	20660	16	(466:18[0.16],491:71[0.18000000000000002],511:24[0.12999999999999998],516:23[0.08],520:19[0.16],541:50[0.12999999999999998],546:58[0.12999999999999998],547:30[0.17],549:16[0.16],550:32[0.16],557:38[0.16],565:39[0.16],566:24[0.16],567:37[0.13999999999999999],569:20[0.15],570:15[0.15],)	514	1588.010000000023	1102.4515369649855	-100.09999999999856	10	10.792	16	8	(0.08209408144804392,0.09129282087218835,0.07398361544089933,0.06494118187260546,0.08097176521060032,0.07291074695683658,0.07734106173992308,0.04276658689914944,0.0782156306432286,0.05450081798215252,0.08972696504741866,0.0757578822426945,0.1262711416306833,0.0676885522030684,0.08720681778980195,0.08423033121448276,)
39	668465363359452	21188	14	(466:18[0.17],491:30[0.17],511:34[0.13999999999999999],516:42[0.09],520:24[0.17],541:23[0.11999999999999998],547:39[0.18000000000000002],549:43[0.17],550:30[0.15],565:61[0.15],566:55[0.17],567:29[0.12999999999999998],569:17[0.16],570:71[0.16],)	516	1588.010000000023	1154.779108527138	-100.09999999999856	10	11.138	17	8	(0.09277428418517823,0.10758082799719511,0.05178715806625292,0.06644034229354687,0.0745857449005418,0.05852276192958174,0.07056427484634947,0.08237960337403008,0.06213051502748819,0.0944376421867971,0.08838055665900016,0.08080950906103675,0.11597863231407946,0.07719251678193173,)
40	668736774908095	21709	13	(466:84[0.18000000000000002],491:32[0.18000000000000002],511:36[0.15],516:19[0.08],520:60[0.18000000000000002],541:26[0.12999999999999998],549:27[0.16],550:24[0.16],565:41[0.13999999999999999],566:40[0.16],567:65[0.13999999999999999],569:33[0.17],570:27[0.15],)	514	1588.010000000023	1144.034124513625	-100.09999999999856	10	11.358	17	8	(0.08568888097249143,0.07529512965471125,0.08460771855530998,0.02954077722865911,0.08397802375869604,0.10237276830623042,0.0813048709697869,0.08127082945294319,0.08449524054978846,0.10527674983120187,0.09978262259487769,0.06678375107142093,0.09017403175641439,)
41	669003387594332	22221	13	(466:37[0.17],491:56[0.19000000000000003],511:39[0.16],516:51[0.09],520:32[0.17],541:17[0.13999999999999999],549:22[0.17],550:38[0.17],565:39[0.12999999999999998],566:43[0.15],567:55[0.12999999999999998],569:29[0.18000000000000002],570:55[0.16],)	513	1588.010000000023	1145.7286023391875	-100.09999999999856	10	11.37	18	8	(0.0673299541978645,0.08437380959968735,0.04697577054280693,0.03862927501970796,0.07507560220808039,0.0744749047809937,0.10879027216950629,0.0737057390595295,0.09913769420235836,0.06786959270066623,0.08206315115463111,0.08816989255708614,0.0722592856087425,)
42	669271231781791	22737	13	(491:49[0.18000000000000002],511:51[0.15],516:37[0.08],520:49[0.18000000000000002],541:26[0.15],549:22[0.18000000000000002],550:42[0.16],565:34[0.11999999999999998],566:45[0.13999999999999999],567:55[0.11999999999999998],569:47[0.19000000000000003],570:38[0.15],579:18[0.15],)	513	1588.010000000023	1133.0351461988364	-100.09999999999856	10	11.38	19	8	(0.07693762681386145,0.0593584920698711,0.04822778859110117,0.07591813815198743,0.04259164720470488,0.06406489665049893,0.09113763504791417,0.09170689795132579,0.0753108883702903,0.06207472797505212,0.10770151909842016,0.08587994744038474,0.04817930486354826,)
43	669546029410244	23263	13	(491:35[0.17],511:36[0.13999999999999999],516:55[0.09],520:34[0.17],541:45[0.16],549:58[0.19000000000000003],565:30[0.12999999999999998],566:32[0.12999999999999998],567:25[0.10999999999999999],569:66[0.18000000000000002],570:24[0.13999999999999999],579:44[0.16],581:29[0.15],)	513	1588.010000000023	1148.946101364529	-100.09999999999856	10	11.368	19	8	(0.08582803158012552,0.0641268624985437,0.05835955529985597,0.09946414604609628,0.0678911546449509,0.08712440744087936,0.09563070267136796,0.05597200148314642,0.07894383622329885,0.07677851380597298,0.09690598902525871,0.049469718854682855,0.06492163889565085,)
44	669834483251857	23800	12	(511:40[0.15],516:41[0.08],520:20[0.18000000000000002],541:60[0.15],549:45[0.18000000000000002],565:53[0.13999999999999999],566:39[0.13999999999999999],567:25[0.11999999999999998],569:37[0.17],570:68[0.15],579:48[0.15],581:37[0.16],)	513	1588.010000000023	1143.683021442502	-100.09999999999856	10	11.664	18	8	(0.07012478755299657,0.04209510106653206,0.08678295313019416,0.07203171968880744,0.08005931908066961,0.08817686774772797,0.09364717077924802,0.0773861069405908,0.0686905442067414,0.10066201856182574,0.08691785675571213,0.05643266063329724,)
45	670110412102144	24308	12	(511:39[0.16],516:44[0.07],520:53[0.19000000000000003],541:24[0.13999999999999999],549:50[0.17],565:38[0.12999999999999998],566:53[0.15],567:51[0.12999999999999998],569:54[0.18000000000000002],570:25[0.13999999999999999],579:33[0.13999999999999999],581:48[0.17],)	512	1588.010000000023	1189.9836523437584	-100.09999999999856	10	11.52	19	8	(0.07848427020750276,0.04855901600580734,0.07003748619091765,0.07781355257183555,0.08982387927637227,0.08892465314646099,0.06835656105082367,0.05054921317018093,0.05576227677710813,0.09438168867681551,0.03630122719561582,0.05360630877982168,)
46	670393294439229	24819	12	(511:29[0.17],516:26[0.060000000000000005],520:51[0.18000000000000002],541:54[0.15],549:18[0.16],565:65[0.13999999999999999],566:37[0.13999999999999999],567:32[0.11999999999999998],569:38[0.17],570:74[0.15],579:46[0.15],581:42[0.16],)	512	1588.010000000023	1171.1557421875073	-100.09999999999856	10	11.656	19	8	(0.091007095463426,0.04541139471960202,0.11034650472756119,0.06206775838669202,0.1126302289690438,0.08379928617864278,0.06795355029061834,0.05423456446836591,0.06578540934111701,0.09190508874653293,0.052185548417705084,0.07341795207806028,)
47	670673191023433	25324	13	(511:26[0.18000000000000002],516:52[0.07],520:28[0.17],541:35[0.13999999999999999],549:36[0.17],565:23[0.12999999999999998],566:42[0.15],567:52[0.12999999999999998],569:35[0.18000000000000002],570:32[0.13999999999999999],579:64[0.13999999999999999],581:43[0.15],593:44[0.15],)	512	1588.010000000023	1143.565312500007	-100.09999999999856	10	11.664	20	8	(0.08765385717758299,0.03558717095450207,0.07484696645457012,0.04812551741917623,0.08118768652997274,0.052999054161754336,0.08799801517121615,0.04611455974074442,0.10515943651138987,0.09066328408649979,0.0925282530502201,0.053263022332972955,0.1060910049019297,)
48	670951537760217	25846	14	(516:29[0.060000000000000005],520:19[0.18000000000000002],541:30[0.15],549:25[0.18000000000000002],565:38[0.13999999999999999],566:24[0.13999999999999999],567:53[0.11999999999999998],569:58[0.19000000000000003],570:48[0.15],579:63[0.12999999999999998],581:51[0.13999999999999999],593:28[0.13999999999999999],596:22[0.15],597:25[0.15],)	513	1588.010000000023	1176.0024269005926	-100.09999999999856	10	11.402	21	8	(0.03808248862225851,0.1135784920944376,0.057855080846139655,0.10224275997268945,0.08335138507380334,0.10202098221575191,0.057619490488729656,0.12550837596059017,0.09095407221763202,0.09269704721040792,0.09585407659596647,0.09007430366502762,0.09018868727611822,0.08381186900263453,)
