alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
38	864436338842231	31014	5	(489:37[0.20000000000000004],523:109[0.17],540:143[0.13999999999999999],543:33[0.13999999999999999],548:183[0.16],)	505	2670.448389621201	-761.9676082292599	-14693.643269785272	8	9.59	15	8	(0.09076374640009037,0.07936729720387506,0.05572960657077226,0.08889713534575405,0.07092749882923978,)
39	865910039969339	31514	5	(489:125[0.21000000000000005],523:107[0.16],540:42[0.12999999999999998],543:29[0.15],548:202[0.15],)	505	2670.448389621201	-810.3961672291324	-14742.853862669517	8	9.662	13	8	(0.08247770695951036,0.07130629577184605,0.08003932896176605,0.08713697095433486,0.08246069313893004,)
40	867490109522389	32017	6	(489:35[0.20000000000000004],523:58[0.15],540:118[0.13999999999999999],543:19[0.16],548:223[0.13999999999999999],552:52[0.15],)	505	2882.209302615053	-1046.953920052401	-14696.386772247559	9	9.798	14	8	(0.07185643762305151,0.09219750796799085,0.06571643656422607,0.07256123991130396,0.07163427881981453,0.08832649381577637,)
41	869582102655697	32591	6	(489:27[0.21000000000000005],523:23[0.16],540:109[0.12999999999999998],543:30[0.17],548:76[0.12999999999999998],552:312[0.16],)	577	2882.209302615053	-975.2971927341997	-14690.885707027777	9	12.02	15	8	(0.11725556634730955,0.08294153481471374,0.0666930594550689,0.13290087907152928,0.06702859167160423,0.07563464490673755,)
42	871555326105992	33128	7	(489:50[0.22000000000000006],523:136[0.17],540:36[0.11999999999999998],548:32[0.13999999999999999],552:212[0.15],554:24[0.15],555:38[0.15],)	528	2433.457690320964	-4900.749775247652	-14699.984767626916	13	9.532	14	8	(0.10174305149308997,0.05816941028117041,0.07025340539559478,0.09203037392359743,0.057556201781019216,0.055833868422608214,0.08683513229595452,)
43	873745452567378	33632	7	(489:37[0.23000000000000007],523:69[0.16],540:41[0.12999999999999998],548:21[0.15],552:74[0.13999999999999999],554:110[0.16],555:158[0.16],)	510	2496.349807442644	-9137.675815934477	-14698.859453305002	11	9.358	15	8	(0.07314019096272802,0.051993797736651005,0.062179845646194006,0.08510057299353271,0.0702469419341659,0.03083706633291551,0.051930738302742085,)
44	875854673361188	34149	6	(489:102[0.24000000000000007],523:45[0.17],548:22[0.16],552:54[0.12999999999999998],554:124[0.15],555:160[0.15],)	507	2496.349807442644	-7259.014088607645	-14696.31626252154	11	9.548	16	8	(0.07465385705896177,0.06095436394879839,0.08865572810944888,0.06276481143350589,0.04085946747869476,0.07076528643663448,)
45	877897428285777	34666	6	(489:55[0.23000000000000007],523:50[0.18000000000000002],548:88[0.17],552:69[0.13999999999999999],554:54[0.13999999999999999],555:190[0.13999999999999999],)	506	2496.349807442644	-5882.40383516597	-14696.237604078357	11	9.74	15	8	(0.10814875588131466,0.07759323443946432,0.10223834229037297,0.045510485940155485,0.10590620173801837,0.07969782406567817,)
46	879736059792260	35179	5	(489:72[0.24000000000000007],523:62[0.19000000000000003],552:124[0.15],554:163[0.15],555:85[0.12999999999999998],)	506	2496.349807442644	-3132.7447310711004	-14784.635140916182	11	9.862	16	8	(0.1246173393758305,0.09181678840964001,0.05639350145627668,0.08379079533389316,0.07792218514229747,)
47	881514914929154	35681	5	(489:87[0.25000000000000006],523:29[0.20000000000000004],552:59[0.13999999999999999],554:190[0.13999999999999999],555:140[0.13999999999999999],)	505	2496.349807442644	-3266.955085000298	-14696.611720261619	11	9.594	16	8	(0.113866622372748,0.0946202414382988,0.06515422557625324,0.07673694557017914,0.08022807860326041,)
