alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_773495747581566
Random seed:          1111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
40	785120080122375	21455	4	(508:96[0.21000000000000005],523:34[0.23000000000000007],533:324[0.13999999999999999],537:50[0.18000000000000002],)	504	-34.42	-1072.4262896825398	-10000.0	20	14.916	21	9	(0.08074542192832464,0.06183334983390818,0.06778982917366438,0.06371338237671245,)
41	785450537368252	21955	4	(508:48[0.22000000000000006],523:201[0.24000000000000007],533:203[0.12999999999999998],537:52[0.19000000000000003],)	504	-34.42	-986.941785714286	-10000.0	20	14.788	21	9	(0.09603023718269138,0.09798572528171685,0.07366582407999804,0.048698228113186345,)
42	785638058574578	22455	4	(508:63[0.23000000000000007],523:204[0.23000000000000007],533:125[0.11999999999999998],537:112[0.20000000000000004],)	504	-33.6	-626.2626785714288	-10000.0	15	13.962	22	8	(0.07041277810686739,0.0903487700422726,0.05306331483151868,0.04929887231600344,)
43	785907133730817	22955	4	(508:92[0.24000000000000007],523:104[0.22000000000000006],533:193[0.10999999999999999],537:115[0.21000000000000005],)	504	-33.6	-819.4379365079365	-10000.0	17	14.276	22	8	(0.08994947153850506,0.07106161576925193,0.07958468669009526,0.06702936354589366,)
44	786227789085800	23455	4	(508:162[0.25000000000000006],523:85[0.23000000000000007],533:155[0.09999999999999999],537:102[0.22000000000000006],)	504	-33.6	-1004.0644246031745	-10000.0	17	14.698	23	8	(0.06691280672798242,0.07262384403008887,0.06382670750564624,0.07710920641697767,)
45	786564803610695	23955	4	(508:222[0.24000000000000005],523:194[0.24000000000000007],533:56[0.09],537:32[0.23000000000000007],)	504	-32.96	-973.8085714285716	-10000.0	11	15.01	24	8	(0.07640211800857971,0.08442535043723397,0.05743178257865853,0.08689327794780541,)
46	786953288052800	24455	4	(508:147[0.23000000000000004],523:35[0.23000000000000007],533:96[0.09999999999999999],537:226[0.24000000000000007],)	504	-32.96	-1093.893353174603	-10000.0	11	16.172	24	9	(0.07236813012763638,0.09966393942122037,0.0708402528293931,0.05841983774511403,)
47	787298395411784	24955	4	(508:199[0.22000000000000003],523:107[0.24000000000000007],533:93[0.10999999999999999],537:105[0.23000000000000007],)	504	-32.96	-1146.0424603174604	-10000.0	11	14.384	21	8	(0.07790252821859929,0.0423669521669845,0.08015682360058382,0.10141242155096666,)
48	787615028682741	25455	4	(508:172[0.21000000000000002],523:103[0.25000000000000006],533:82[0.11999999999999998],537:147[0.24000000000000007],)	504	-31.7	-841.075853174603	-10000.0	15	15.184	22	8	(0.08214660378233872,0.06398066248897268,0.052470185205576905,0.056196972339158796,)
49	787954207594961	25955	4	(508:168[0.2],523:46[0.26000000000000006],533:110[0.12999999999999998],537:180[0.23000000000000007],)	504	-31.7	-903.6467261904761	-10000.0	15	16.02	23	8	(0.09530332759362051,0.03996585423740998,0.08448393841661817,0.09101288178228499,)
